city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Sterling,Sterling,AK,Alaska,2122,Kenai Peninsula,60.5405,-150.8089,6776,33.6,shape,FALSE,FALSE,America/Anchorage,3,99672 99669,1840023417
Gateway,Gateway,AK,Alaska,2170,Matanuska-Susitna,61.5668,-149.2417,6716,141.2,shape,FALSE,FALSE,America/Anchorage,3,99645 99654,1840023654
Bethel,Bethel,AK,Alaska,2050,Bethel,60.7928,-161.7917,6313,54.8,shape,FALSE,TRUE,America/Anchorage,3,99559 99545,1840023353
Palmer,Palmer,AK,Alaska,2170,Matanuska-Susitna,61.5971,-149.1148,6141,467.4,shape,FALSE,TRUE,America/Anchorage,3,99645,1840023379
South Lakes,South Lakes,AK,Alaska,2170,Matanuska-Susitna,61.5874,-149.316,6132,303.2,shape,FALSE,FALSE,America/Anchorage,3,99645 99654,1840152940
Chena Ridge,Chena Ridge,AK,Alaska,2090,Fairbanks North Star,64.7941,-148.0357,5927,62.8,shape,FALSE,TRUE,America/Anchorage,4,99709,1840075179
Steele Creek,Steele Creek,AK,Alaska,2090,Fairbanks North Star,64.9295,-147.3955,5861,24.4,shape,FALSE,TRUE,America/Anchorage,4,99712 99710,1840075216
Homer,Homer,AK,Alaska,2122,Kenai Peninsula,59.653,-151.5255,5750,161,shape,FALSE,TRUE,America/Anchorage,3,99603,1840023419
Kodiak,Kodiak,AK,Alaska,2150,Kodiak Island,57.7934,-152.4059,5497,540.1,shape,FALSE,TRUE,America/Anchorage,3,99615 99619,1840023301
Fishhook,Fishhook,AK,Alaska,2170,Matanuska-Susitna,61.7199,-149.2621,5461,32.4,shape,FALSE,TRUE,America/Anchorage,4,99645 99654,1840037578
Farmers Loop,Farmers Loop,AK,Alaska,2090,Fairbanks North Star,64.9061,-147.6957,4887,86.6,shape,FALSE,TRUE,America/Anchorage,4,99712,1840075181
Utqiagvik,Utqiagvik,AK,Alaska,2185,North Slope,71.2727,-156.7575,4850,99.8,shape,FALSE,TRUE,America/Anchorage,3,99723,1840023481
Nikiski,Nikiski,AK,Alaska,2122,Kenai Peninsula,60.7152,-151.2317,4656,25.9,shape,FALSE,FALSE,America/Anchorage,3,99611,1840023615
Soldotna,Soldotna,AK,Alaska,2122,Kenai Peninsula,60.4862,-151.0672,4448,248.1,shape,FALSE,TRUE,America/Anchorage,3,99669,1840023415
Unalaska,Unalaska,AK,Alaska,2016,Aleutians West,53.8984,-166.568,4430,16.7,shape,FALSE,TRUE,America/Nome,3,99692 99685,1840023260
Valdez,Valdez,AK,Alaska,2063,Chugach,61.0963,-146.2596,3911,7.1,shape,FALSE,TRUE,America/Anchorage,3,99686,1840023396
Butte,Butte,AK,Alaska,2170,Matanuska-Susitna,61.5539,-149.0035,3905,44.6,shape,FALSE,FALSE,America/Anchorage,3,99645,1840023368
